anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,,,,
29,33,34.85714286,1,"[31, 31, 36, 33, 35, 37, 35, 31, 31, 33, 34, 38, 35, 39, 33, 36, 34, 31, 33, 35, 41, 34, 35, 35, 38, 32, 36, 36, 33, 40, 39, 34, 36, 33, 37]",35,18,2.658425641,,,,
28,33,34.48571429,1,"[31, 34, 33, 34, 37, 32, 30, 35, 34, 33, 37, 35, 36, 33, 34, 34, 32, 33, 32, 40, 39, 36, 34, 34, 38, 37, 33, 30, 36, 31, 33, 38, 36, 40, 33]",35,19,2.627584762,,,,
32,39,41.02941176,1,"[43, 35, 41, 37, 41, 36, 42, 46, 44, 40, 41, 45, 37, 40, 42, 41, 46, 39, 44, 39, 43, 44, 41, 42, 39, 43, 43, 42, 37, 40, 46, 37, 37, 42]",34,20,2.989732877,,,,
32,38,40.48571429,1,"[40, 42, 37, 44, 38, 40, 38, 34, 46, 37, 46, 42, 36, 42, 37, 45, 45, 38, 37, 39, 44, 40, 37, 44, 37, 45, 39, 45, 42, 36, 46, 38, 39, 39, 43]",35,21,3.492609243,,,,
27,32,33.24242424,0,"[33, 38, 33, 33, 35, 32, 32, 36, 35, 31, 30, 32, 33, 32, 30, 35, 29, 34, 32, 31, 40, 32, 31, 35, 32, 39, 33, 32, 34, 35, 32, 32, 34]",33,22,2.475256338,,,,
22,30,30.65517241,1,"[32, 29, 30, 32, 30, 32, 30, 31, 29, 30, 27, 31, 30, 31, 34, 31, 31, 30, 31, 35, 32, 29, 24, 29, 30, 34, 28, 36, 31]",29,23,2.364557676,,,,
25,30,32.73529412,1,"[32, 36, 37, 29, 39, 33, 30, 31, 33, 32, 39, 30, 27, 34, 35, 30, 31, 35, 37, 31, 38, 30, 32, 31, 37, 30, 34, 32, 30, 32, 34, 33, 30, 29]",34,24,3.087696244,,,,
21,30,32.13888889,1,"[31, 33, 38, 39, 29, 36, 33, 28, 35, 29, 39, 32, 35, 36, 31, 31, 32, 35, 25, 30, 34, 27, 31, 29, 31, 37, 29, 28, 30, 31, 35, 33, 32, 25, 35, 33]",36,25,3.578928633,,,,
26,31,33.30555556,1,"[33, 36, 30, 34, 34, 34, 32, 31, 32, 35, 31, 31, 37, 38, 29, 33, 31, 33, 31, 33, 31, 37, 31, 38, 35, 30, 34, 33, 32, 34, 37, 31, 37, 30, 34, 37]",36,26,2.550287877,,,,
26,31,32.63888889,1,"[33, 32, 36, 38, 33, 32, 37, 34, 32, 34, 32, 31, 37, 30, 28, 33, 33, 28, 30, 28, 31, 34, 33, 33, 32, 33, 34, 34, 35, 29, 31, 33, 28, 35, 34, 35]",36,27,2.565182007,,,,
30,34,35.05555556,1,"[36, 34, 32, 39, 35, 36, 35, 36, 33, 35, 36, 38, 36, 36, 36, 34, 36, 36, 34, 34, 35, 32, 36, 35, 33, 35, 35, 32, 37, 36, 36, 33, 38, 35, 33, 34]",36,28,1.67237119,,,,
25,31,32.63636364,1,"[35, 35, 33, 33, 37, 36, 31, 34, 33, 30, 30, 27, 31, 31, 32, 32, 33, 27, 32, 35, 35, 36, 33, 33, 33, 30, 34, 30, 32, 32, 34, 35, 33]",33,29,2.356084965,,,,
28,33,34.2,1,"[35, 35, 30, 37, 31, 34, 33, 33, 37, 35, 37, 36, 33, 32, 32, 33, 35, 33, 33, 36, 37, 33, 34, 34, 31, 36, 32, 37, 35, 35, 36, 34, 32, 35, 36]",35,30,1.937250933,,,,
24,27,29.56666667,1,"[31, 29, 29, 26, 38, 26, 31, 26, 33, 33, 31, 27, 26, 31, 29, 31, 31, 26, 29, 26, 28, 34, 30, 30, 26, 30, 33, 27, 29, 31]",30,31,2.920596695,,,,
25,30,31.16129032,1,"[29, 30, 29, 37, 35, 27, 30, 29, 27, 30, 29, 31, 31, 33, 35, 29, 31, 35, 29, 30, 33, 30, 32, 32, 31, 35, 31, 33, 31, 32, 30]",31,32,2.423451728,,,,
27,32,33,1,"[31, 33, 32, 32, 36, 36, 32, 34, 29, 32, 32, 36, 32, 34, 31, 31, 36, 30, 31, 32, 37, 34, 32, 32, 32, 31, 33, 33, 32, 33, 39, 32, 36, 31, 36]",35,33,2.236067978,,,,
25,29,30.71428571,1,"[29, 28, 27, 29, 32, 35, 30, 29, 30, 28, 29, 29, 35, 35, 30, 27, 30, 29, 30, 37, 30, 33, 28, 37, 29, 34, 33, 27, 34, 28, 32, 31, 29, 33, 29]",35,34,2.844720896,,,,
23,29,30.47058824,0,"[33, 30, 29, 28, 35, 27, 29, 37, 28, 30, 30, 30, 28, 32, 32, 31, 31, 27, 31, 30, 28, 30, 29, 31, 30, 37, 30, 28, 32, 29, 33, 31, 30, 30]",34,35,2.415044941,,,,
25,30,31.62857143,1,"[33, 29, 27, 30, 28, 34, 30, 30, 32, 29, 33, 32, 33, 32, 27, 33, 38, 32, 30, 35, 34, 33, 31, 30, 29, 32, 28, 32, 35, 34, 33, 31, 27, 32, 39]",35,36,2.829318295,,,,
22,27,28.51515152,1,"[30, 29, 27, 28, 34, 28, 29, 33, 28, 25, 30, 31, 29, 28, 24, 25, 31, 29, 26, 27, 34, 28, 26, 29, 28, 27, 28, 26, 29, 25, 26, 32, 32]",33,37,2.587484446,,,,
23,29,30.13793103,0,"[31, 30, 31, 29, 31, 36, 28, 29, 30, 31, 26, 29, 29, 30, 37, 29, 29, 32, 31, 30, 27, 30, 25, 30, 30, 30, 30, 34, 30]",29,38,2.460025231,,,,
18,23,26.05882353,1,"[25, 27, 27, 28, 28, 20, 23, 34, 26, 27, 28, 23, 25, 24, 29, 26, 23, 25, 27, 23, 34, 25, 21, 26, 28, 23, 34, 27, 22, 27, 23, 27, 26, 25]",34,39,3.320653244,,,,
20,27,28.16666667,1,"[30, 27, 28, 34, 29, 29, 32, 23, 32, 27, 34, 28, 32, 31, 30, 24, 29, 27, 23, 28, 27, 27, 27, 31, 29, 28, 26, 26, 33, 27, 33, 24, 25, 22, 27, 25]",36,40,3.166791977,,,,
14,24,26.44444444,1,"[31, 32, 25, 28, 27, 27, 21, 28, 25, 30, 26, 17, 31, 27, 26, 26, 29, 23, 30, 23, 27, 32, 24, 29, 29, 22, 19, 26, 19, 27, 23, 27, 32, 24, 26, 34]",36,41,3.945662678,,,,
19,26,27.80555556,1,"[26, 27, 28, 35, 29, 30, 36, 24, 27, 24, 28, 32, 33, 24, 24, 27, 30, 27, 24, 27, 24, 28, 31, 28, 27, 31, 29, 28, 28, 21, 21, 30, 23, 30, 30, 30]",36,42,3.487278468,,,,
19,25,26.88888889,1,"[27, 31, 22, 36, 25, 26, 27, 27, 23, 24, 27, 27, 29, 30, 30, 25, 25, 32, 31, 27, 29, 29, 24, 28, 21, 24, 29, 24, 28, 27, 25, 22, 24, 30, 28, 25]",36,43,3.169297153,,,,
14,21,25.45454545,1,"[29, 26, 28, 32, 16, 21, 22, 35, 30, 21, 23, 16, 28, 27, 21, 21, 22, 16, 32, 25, 32, 32, 27, 30, 16, 26, 23, 16, 21, 29, 35, 31, 31]",33,44,5.815340215,,,,
22,27,28.75757576,1,"[32, 33, 29, 27, 35, 27, 30, 26, 29, 28, 27, 26, 30, 28, 25, 30, 34, 32, 25, 27, 30, 29, 24, 31, 27, 29, 30, 25, 35, 28, 25, 25, 31]",33,45,3.00031564,,,,
22,27,29.33333333,1,"[30, 33, 31, 29, 35, 24, 29, 29, 31, 32, 31, 25, 33, 25, 29, 30, 26, 34, 30, 24, 26, 32, 24, 28, 31, 24, 36, 29, 28, 32]",30,46,3.407226937,,,,
24,29,31.21875,1,"[24, 33, 29, 35, 34, 27, 30, 31, 36, 29, 29, 26, 27, 36, 31, 28, 27, 33, 33, 35, 33, 31, 33, 33, 29, 34, 32, 33, 34, 33, 30, 31]",32,47,3.055765307,,,,
26,28,31.77142857,1,"[29, 28, 28, 29, 35, 34, 28, 31, 28, 28, 36, 39, 32, 33, 30, 31, 34, 28, 30, 28, 34, 37, 29, 32, 34, 28, 28, 33, 28, 35, 42, 33, 33, 31, 36]",35,48,3.598085392,,,,
27,30,32.65714286,1,"[35, 36, 28, 35, 36, 37, 31, 29, 31, 33, 33, 30, 37, 33, 30, 37, 28, 31, 28, 36, 28, 32, 33, 38, 30, 36, 31, 29, 34, 29, 36, 34, 35, 36, 28]",35,49,3.226205722,,,,
24,28,30.44117647,1,"[30, 26, 29, 27, 31, 26, 30, 38, 33, 33, 36, 32, 26, 29, 30, 27, 33, 30, 32, 29, 28, 29, 30, 28, 27, 38, 34, 30, 30, 29, 33, 33, 27, 32]",34,50,3.154517458,,,,
26,29,30.85714286,1,"[30, 30, 27, 30, 27, 30, 28, 30, 36, 27, 34, 34, 33, 33, 30, 28, 33, 29, 29, 35, 31, 30, 30, 30, 31, 28, 27, 38, 29, 32, 38, 31, 27, 34, 31]",35,51,3.001400233,,,,
25,30,31.42424242,1,"[32, 32, 32, 32, 37, 29, 34, 35, 31, 30, 33, 31, 33, 31, 31, 30, 32, 35, 27, 27, 36, 31, 30, 30, 31, 34, 30, 27, 32, 29, 30, 29, 34]",33,52,2.462599021,,,,
23,30,31.24137931,1,"[32, 30, 33, 37, 31, 30, 29, 34, 31, 32, 29, 30, 30, 33, 27, 33, 31, 35, 36, 31, 28, 30, 25, 31, 33, 25, 31, 38, 31]",29,53,3.05491609,,,,
24,30,31.85294118,1,"[32, 38, 34, 29, 32, 28, 33, 33, 32, 38, 34, 27, 29, 27, 31, 30, 29, 34, 34, 33, 39, 32, 33, 31, 30, 31, 38, 30, 30, 30, 31, 27, 31, 33]",34,54,3.115283468,,,,
24,30,32,1,"[33, 34, 33, 37, 32, 34, 36, 29, 37, 32, 34, 33, 35, 29, 30, 30, 35, 33, 26, 34, 35, 30, 30, 30, 37, 36, 30, 26, 31, 29, 29, 33, 29, 30, 33, 28]",36,55,3.014251862,,,,
25,30,31.47222222,1,"[31, 34, 31, 34, 29, 31, 29, 29, 30, 31, 30, 33, 33, 34, 29, 32, 32, 30, 31, 31, 30, 35, 30, 34, 31, 27, 29, 33, 30, 33, 33, 31, 34, 33, 33, 33]",36,56,1.91961471,,,,
27,33,34.74285714,1,"[32, 36, 38, 39, 34, 38, 35, 35, 33, 33, 34, 34, 32, 29, 34, 38, 34, 32, 36, 34, 32, 39, 36, 34, 37, 37, 33, 37, 29, 33, 37, 33, 37, 33, 39]",35,57,2.627264929,,,,
29,34,35.55555556,1,"[34, 35, 32, 39, 36, 40, 34, 37, 36, 35, 36, 37, 41, 35, 36, 35, 34, 42, 33, 33, 38, 31, 35, 37, 31, 36, 37, 32, 40, 34, 34, 32, 38, 36, 35, 34]",36,58,2.688009826,,,,
30,34,35.66666667,1,"[37, 39, 33, 37, 35, 37, 32, 36, 39, 35, 34, 32, 39, 34, 38, 35, 37, 32, 32, 36, 38, 38, 38, 38, 32, 35, 35, 33, 37, 35, 41, 35, 33]",33,59,2.47066118,,,,
27,30,31.96551724,1,"[33, 32, 32, 33, 34, 31, 32, 30, 32, 36, 29, 30, 32, 31, 35, 29, 36, 32, 35, 29, 30, 33, 29, 32, 31, 30, 32, 36, 31]",29,60,2.146138702,,,,
25,32,33.73333333,1,"[35, 34, 34, 30, 42, 30, 36, 34, 32, 37, 33, 35, 31, 34, 33, 35, 32, 35, 34, 27, 31, 36, 33, 39, 33, 32, 37, 29, 34, 35]",30,61,2.981937964,,,,
28,33,33.77419355,1,"[34, 35, 35, 32, 38, 32, 32, 33, 32, 33, 34, 33, 40, 34, 30, 35, 37, 34, 34, 32, 30, 36, 33, 34, 35, 37, 33, 34, 33, 30, 33]",31,62,2.246622315,,,,
26,31,32.62857143,1,"[34, 31, 32, 35, 37, 30, 34, 32, 28, 32, 35, 39, 31, 33, 30, 35, 30, 31, 29, 31, 36, 31, 34, 30, 36, 28, 30, 32, 28, 35, 38, 32, 36, 31, 36]",35,63,2.931429227,,,,
28,32,33.08571429,1,"[30, 31, 33, 33, 30, 37, 33, 33, 33, 33, 31, 33, 37, 32, 32, 34, 34, 31, 32, 33, 35, 34, 30, 35, 36, 36, 30, 30, 37, 30, 33, 33, 33, 38, 33]",35,64,2.240948179,,,,
28,33,34.29411765,1,"[37, 30, 37, 33, 34, 33, 33, 38, 31, 32, 33, 34, 30, 33, 33, 33, 35, 33, 38, 33, 35, 34, 32, 34, 32, 38, 36, 36, 34, 37, 41, 37, 31, 36]",34,65,2.552828636,,,,
26,30,32.71428571,1,"[31, 34, 28, 28, 28, 33, 30, 29, 35, 35, 37, 37, 33, 37, 29, 33, 29, 30, 32, 31, 32, 33, 33, 30, 34, 37, 31, 36, 28, 35, 38, 35, 32, 31, 41]",35,66,3.303931959,,,,
28,32,33.875,1,"[33, 35, 36, 36, 38, 33, 33, 33, 38, 32, 33, 35, 32, 32, 32, 30, 37, 36, 33, 30, 33, 32, 34, 33, 37, 32, 32, 35, 33, 33, 36, 37]",32,67,2.181298814,,,,
28,35,36.68965517,1,"[37, 38, 38, 39, 37, 37, 36, 37, 36, 39, 33, 35, 35, 36, 36, 35, 40, 42, 37, 33, 31, 33, 36, 34, 38, 41, 39, 40, 36]",29,68,2.550958479,,,,
28,32,34.41176471,1,"[33, 37, 35, 36, 37, 32, 31, 32, 32, 35, 37, 31, 35, 33, 35, 36, 32, 35, 37, 36, 41, 33, 33, 35, 31, 31, 42, 38, 32, 37, 29, 37, 33, 31]",34,69,2.965638028,,,,
28,34,35.74285714,1,"[36, 38, 36, 39, 33, 38, 38, 32, 37, 36, 36, 36, 36, 37, 34, 36, 36, 31, 36, 37, 33, 33, 37, 37, 37, 34, 33, 35, 34, 40, 34, 35, 38, 37, 36]",35,70,2.034162021,,,,
29,35,36.16666667,1,"[37, 40, 35, 37, 37, 35, 32, 35, 37, 37, 33, 35, 36, 37, 32, 39, 37, 37, 36, 36, 37, 40, 34, 42, 37, 33, 35, 37, 36, 35, 36, 34, 39, 33, 35, 39]",36,71,2.261478657,,,,
28,33,34.88888889,1,"[36, 35, 37, 40, 37, 33, 38, 37, 32, 37, 34, 33, 36, 31, 30, 35, 35, 31, 31, 33, 34, 33, 40, 35, 33, 36, 35, 36, 34, 30, 32, 38, 34, 40, 35, 40]",36,72,2.816053751,,,,
28,32,33,1,"[31, 33, 30, 37, 34, 34, 32, 33, 32, 33, 34, 34, 36, 34, 33, 30, 31, 33, 32, 31, 32, 32, 30, 30, 36, 34, 32, 34, 36, 36, 33, 36, 32, 32, 33]",35,73,1.909727421,,,,
26,30,31.28125,1,"[35, 32, 33, 28, 31, 31, 32, 32, 34, 31, 28, 31, 32, 36, 31, 32, 28, 34, 31, 30, 32, 31, 30, 28, 32, 30, 28, 31, 28, 34, 34, 31]",32,74,2.143773805,,,,
27,32,33.57575758,1,"[31, 38, 35, 30, 38, 32, 33, 32, 37, 37, 37, 30, 32, 32, 33, 34, 36, 36, 34, 32, 32, 31, 32, 29, 34, 37, 35, 30, 35, 32, 36, 35, 31]",33,75,2.57427542,,,,
29,34,35.5,1,"[37, 37, 38, 34, 38, 35, 36, 37, 37, 37, 33, 31, 34, 41, 31, 36, 38, 38, 36, 31, 32, 36, 35, 37, 34, 33, 40, 34, 31, 38]",30,76,2.700574651,,,,
27,32,32.40625,1,"[31, 32, 32, 32, 37, 35, 31, 31, 32, 33, 29, 31, 32, 33, 32, 29, 32, 34, 35, 32, 32, 32, 33, 32, 32, 34, 32, 35, 33, 32, 30, 35]",32,77,1.738730998,,,,
28,32,33.77142857,1,"[32, 33, 33, 36, 36, 40, 33, 30, 30, 33, 36, 33, 32, 37, 30, 34, 33, 30, 33, 30, 37, 38, 36, 33, 36, 32, 33, 31, 31, 35, 39, 33, 36, 32, 36]",35,78,2.69078727,,,,
32,37,38.8,1,"[37, 41, 36, 38, 40, 41, 39, 37, 38, 35, 35, 38, 41, 41, 37, 44, 37, 34, 39, 42, 42, 41, 39, 40, 37, 41, 36, 34, 42, 37, 37, 41, 39, 42, 40]",35,79,2.552968284,,,,
26,31,32.58823529,1,"[33, 28, 35, 31, 36, 30, 34, 35, 30, 34, 31, 31, 28, 32, 36, 32, 35, 31, 38, 34, 28, 33, 30, 33, 31, 36, 31, 31, 33, 34, 36, 32, 28, 38]",34,80,2.775626023,,,,
26,30,32.22857143,1,"[31, 36, 29, 35, 31, 32, 29, 28, 39, 30, 38, 32, 31, 33, 28, 34, 32, 31, 32, 32, 34, 32, 28, 31, 28, 36, 29, 35, 30, 32, 34, 32, 28, 36, 40]",35,81,3.190848258,,,,
25,29,30.40625,1,"[32, 32, 30, 30, 35, 30, 31, 32, 30, 31, 29, 33, 28, 30, 28, 30, 27, 29, 29, 27, 35, 34, 29, 32, 27, 29, 29, 32, 30, 29, 30, 34]",32,82,2.197643533,,,,
25,31,32.06896552,1,"[35, 35, 29, 33, 32, 35, 33, 35, 31, 31, 30, 33, 30, 30, 30, 32, 33, 35, 34, 32, 31, 30, 27, 31, 33, 32, 31, 34, 33]",29,83,2.051672392,,,,
30,33,34.58823529,1,"[33, 39, 36, 34, 36, 32, 33, 35, 35, 35, 36, 32, 31, 33, 35, 34, 35, 35, 34, 36, 40, 34, 34, 35, 37, 33, 36, 33, 32, 35, 36, 34, 35, 33]",34,84,1.892851738,,,,
29,34,36.13888889,1,"[33, 37, 36, 38, 34, 39, 38, 34, 39, 34, 39, 34, 38, 40, 36, 37, 34, 37, 32, 36, 34, 36, 36, 40, 36, 35, 33, 33, 41, 37, 40, 37, 34, 32, 37, 35]",36,85,2.427847698,,,,
30,35,36.91666667,1,"[42, 37, 36, 36, 37, 35, 33, 36, 39, 36, 36, 39, 37, 39, 36, 34, 41, 35, 38, 41, 36, 41, 35, 38, 40, 33, 35, 40, 32, 37, 37, 37, 39, 35, 35, 36]",36,86,2.430461449,,,,
31,35,37.30555556,1,"[39, 35, 41, 44, 41, 38, 43, 38, 34, 39, 38, 36, 44, 36, 33, 37, 39, 35, 33, 35, 38, 36, 40, 37, 35, 38, 36, 35, 38, 32, 32, 39, 33, 36, 39, 41]",36,87,3.142514411,,,,
33,37,38.33333333,1,"[39, 36, 38, 41, 37, 41, 35, 38, 36, 36, 39, 38, 39, 39, 39, 38, 38, 43, 37, 37, 40, 43, 38, 42, 35, 40, 41, 35, 38, 38, 36, 36, 41, 41, 35, 37]",36,88,2.267786838,,,,
31,34,35.48387097,1,"[35, 37, 33, 38, 37, 33, 40, 40, 34, 38, 33, 33, 36, 36, 34, 33, 34, 35, 34, 37, 35, 36, 33, 33, 36, 35, 35, 35, 39, 37, 36]",31,89,2.079598803,,,,
30,36,37.97222222,1,"[36, 36, 37, 42, 35, 41, 41, 34, 41, 38, 43, 36, 43, 43, 40, 36, 37, 38, 35, 38, 40, 35, 35, 44, 37, 38, 36, 35, 37, 36, 41, 38, 39, 31, 40, 35]",36,90,3.037725758,,,,
23,29,31.03333333,1,"[30, 37, 32, 29, 37, 28, 34, 29, 29, 34, 35, 28, 29, 30, 29, 30, 30, 36, 29, 25, 28, 36, 27, 32, 30, 31, 36, 29, 32, 30]",30,91,3.200035919,,,,
20,27,29.8125,1,"[27, 29, 25, 33, 34, 24, 27, 32, 32, 35, 31, 27, 26, 32, 31, 30, 30, 35, 31, 23, 30, 26, 32, 34, 27, 35, 27, 30, 31, 30, 30, 28]",32,92,3.247207237,,,,
27,32,34.28571429,1,"[35, 37, 36, 32, 36, 35, 35, 36, 29, 32, 38, 42, 35, 33, 32, 31, 32, 29, 34, 31, 37, 34, 33, 29, 34, 32, 38, 34, 29, 32, 42, 33, 41, 33, 39]",35,93,3.477418148,,,,
27,32,33.17142857,1,"[36, 31, 35, 34, 34, 38, 32, 32, 34, 32, 32, 36, 37, 36, 35, 32, 31, 31, 35, 33, 29, 35, 32, 35, 31, 36, 31, 29, 36, 29, 29, 32, 33, 35, 33]",35,94,2.443306755,,,,
29,33,33.94117647,1,"[34, 31, 34, 33, 37, 33, 36, 36, 31, 32, 35, 35, 33, 35, 32, 34, 32, 34, 35, 34, 33, 34, 33, 34, 34, 38, 36, 32, 33, 35, 36, 36, 33, 31]",34,95,1.739752272,,,,
25,29,31,1,"[30, 32, 27, 34, 29, 32, 27, 29, 33, 31, 30, 33, 30, 34, 27, 34, 31, 30, 31, 32, 33, 31, 27, 34, 30, 32, 29, 37, 32, 29, 35, 30, 29, 34, 27]",35,96,2.543735095,,,,
22,26,27.87878788,1,"[28, 27, 28, 24, 26, 27, 31, 28, 28, 25, 25, 29, 27, 29, 27, 28, 25, 29, 26, 26, 30, 32, 27, 27, 28, 32, 28, 26, 29, 26, 27, 32, 33]",33,97,2.232677425,,,,
18,24,26.79310345,1,"[27, 27, 24, 30, 28, 27, 25, 31, 21, 29, 22, 25, 22, 30, 31, 26, 23, 34, 29, 31, 24, 25, 20, 28, 26, 28, 23, 33, 28]",29,98,3.589461861,,,,
27,32,34,1,"[34, 38, 37, 35, 36, 32, 31, 29, 36, 37, 36, 31, 32, 35, 32, 33, 35, 33, 35, 34, 40, 33, 33, 35, 34, 34, 36, 31, 32, 32, 32, 34, 33, 36]",34,99,2.309401077,,,,
28,33,35.02777778,1,"[35, 38, 37, 41, 35, 38, 35, 33, 37, 36, 38, 36, 37, 35, 34, 33, 35, 33, 30, 34, 39, 34, 31, 36, 39, 34, 33, 33, 35, 35, 33, 37, 34, 30, 36, 32]",36,100,2.501269519,,,,
27,35,35.94444444,1,"[35, 40, 33, 35, 35, 36, 37, 38, 35, 41, 33, 33, 36, 38, 37, 38, 36, 37, 35, 35, 36, 38, 36, 41, 36, 33, 30, 39, 34, 33, 32, 38, 37, 36, 35, 37]",36,101,2.437146393,,,,
28,34,35.72222222,1,"[37, 35, 38, 41, 40, 37, 37, 34, 34, 33, 38, 38, 40, 34, 29, 37, 40, 33, 33, 35, 35, 36, 40, 35, 34, 35, 34, 35, 35, 29, 32, 35, 33, 39, 38, 38]",36,102,2.91411453,,,,
34,36,37.86111111,0,"[37, 36, 37, 41, 37, 38, 36, 36, 36, 37, 40, 38, 38, 37, 38, 37, 39, 40, 36, 38, 42, 36, 37, 43, 36, 40, 40, 36, 37, 40, 38, 37, 38, 36, 36, 39]",36,103,1.853996113,,,,
30,34,35.48484848,1,"[38, 37, 35, 36, 35, 38, 32, 40, 36, 35, 35, 32, 39, 33, 36, 35, 36, 32, 34, 36, 36, 38, 36, 37, 32, 33, 35, 34, 34, 37, 36, 36, 37]",33,104,2.032873768,,,,
24,31,33.38888889,1,"[33, 40, 33, 35, 31, 38, 32, 31, 34, 34, 33, 34, 35, 37, 33, 38, 30, 29, 27, 30, 30, 37, 33, 35, 38, 27, 30, 36, 31, 33, 37, 33, 35, 31, 34, 35]",36,105,3.119320235,,,,
24,29,30.86666667,1,"[31, 35, 32, 26, 33, 33, 29, 30, 31, 37, 31, 27, 31, 32, 29, 32, 27, 33, 33, 26, 27, 33, 32, 36, 29, 31, 29, 26, 26, 39]",30,106,3.370596318,,,,
28,32,33.4375,1,"[33, 33, 33, 31, 34, 34, 32, 34, 32, 39, 32, 34, 33, 34, 33, 30, 33, 31, 36, 35, 32, 33, 34, 37, 30, 37, 33, 32, 35, 33, 35, 33]",32,107,1.966452512,,,,
29,33,33.82857143,1,"[33, 30, 30, 37, 37, 38, 33, 33, 30, 33, 33, 36, 36, 36, 33, 36, 35, 30, 35, 36, 33, 33, 34, 30, 32, 36, 36, 30, 34, 35, 38, 34, 30, 31, 38]",35,108,2.595082616,,,,
